Write the correct order in numbers in the column below,Jumbled sentences
,But it rained heavily and hailstorm thrashed his corn field and all the corn was destroyed.
,He wrote 'To God' on the envelope and posted it.
,Lencho predicted it will rain and it did. He and his wife were happy.
,Lencho felt desperate but believed that God would help him.
,Their corn field was longing for water.
,The postman andthe postmaster laughed at Lencho's letter but were surprised by the faith of the man.
