0,1,2
Emperor Akbar,would,be fond of musical evenings.
Every evening we,would,take long walks on the beach.
"Fifty years ago, very few people",would,own cars.
"Till the 1980s, Shanghai",would,have very dirty streets.
My uncle,would,spend his holidays by the sea.
