,List I,List II
1.,A person who believes in equal rights and opportunities for women and men,A. Communalist
2.,A person who says that religion is the principal basis of community,B. Feminist
3.,A person who thinks that caste is the principal basis of community,C. Secularist
4.,A person who does not discriminate others on the basis of religious beliefs,D. Castiest
