A bout may be won,by fall by injury by a disqualification
A bout may be won,by points (by having at least 1 point more after addition of the two periods)
"In case of tie by points, the winner will be declared by successively considering",The highest value of holds.
"In case of tie by points, the winner will be declared by successively considering",The least amount of cautions.
"In case of tie by points, the winner will be declared by successively considering",The last technical point/points scored.
