0,1,2
4.,"Using the properties of integers, we see that mq + np and nq are integers.",Using known properties of integers.
5.,"Since n  0 and q  0, it follows that nq  0.",Using known properties of integers.
6.,"Therefore, mq np x y nq    is a rational number",Using the definition of a rational number.
