Track (Running Events).,Field Events.Throwing,Field Events.Jumping
"(a) Short Distance Running Events 100 meter, 200 meter, 400 meter, 110 meter, Hurdles (men) 100 meter Hurdles for women 400 meter Hurdles",• Javelin Throw • Discus Throw • Shot Put • Hammer Throw,• High Jump • Long Jump • Triple Jump (Hop-step-jump) • Pole Vault
"(b) Middle Distance Running Events 800 meter, 1500 meter (c) Long Distance Running Events 5000 meter, 10,000 meter 3000 meter Steeple Chase (m), 20 km walking, 50 km walking and Marathon (42.195 km).",Relay Events (a) 4 × 100 mtr (men & women) (b) 4 × 400 mtr (men & women) (c) 4 × 400 mtr (mix relay),"Combined Events (a) Decathlon (Men) (consist 10 events) 100 m, Shot put, High Jump, Long Jump, 400 m. 110 m. Hurdle, Discuss Throw, Pole Vault, Javelin Throw, and 1500 m. (b) Heptathlon (Women) (consist 10 events) 100 m. Hurdle, High Jump, Shot Put, 200 m. Long Jump, Javelin Throw, and 800 m."
