0,1
The details aim at making us understand that the athletes participate in different types of jumping and throwing events. Identify-,The details aim at making us understand that the athletes participate in different types of jumping and throwing events. Identify-
Horizontal Jump,(1) (2)
Vertical Jump,(1) (2)
Throws,(1)
,(2)
,(3)
