S.No.,Name of Player,Year
1.,Sarbjit Singh,1961
2.,Man Mohan Singh,1971
3.,Suman Sharma,1983
4.,Parminder Singh,2001
5.,Geethu Anna Jose,2014
6.,Prashanti Singh,2017
