Duration of a Match (Total 4 Quarters).Play,Duration of a Match (Total 4 Quarters).Rest,Duration of a Match (Total 4 Quarters).Play,Duration of a Match (Total 4 Quarters).Half time,Duration of a Match (Total 4 Quarters).Play,Duration of a Match (Total 4 Quarters).Rest,Duration of a Match (Total 4 Quarters).Play
10 min,2 min,10 min,15 min,10 min,2 min,10 min
