Position of the object,Position of the image,Size of the image,Nature of the image
At infinity,"At the focus F, behind the mirror","Highly diminished, point-sized",Virtual and erect
Between infinity and the pole P of the mirror,"Between P and F, behind the mirror",Diminished,Virtual and erect
